Seq,Task ID,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Detail File,Detail File Exists,Verify,Priority,wave_id
22,COMP-SCR001-HERO-SEARCH,COMPONENT,IMPLEMENT,REQ-FUNC-001; REQ-FUNC-002; REQ-FUNC-003; REQ-FUNC-005,SCR-001,/,src/app/page.tsx,INFRA-DESIGN-TOKENS; INFRA-LAYOUT-SHELL,`src/components/scr001/Hero.tsx`(신규),TASK-COMP-SCR001-HERO-SEARCH.md,YES,MANUAL-RESPONSIVE-CHECK; E2E-PUBLIC-SMOKE,P0,W05
23,COMP-SCR001-CARDGRID,COMPONENT,IMPLEMENT,REQ-FUNC-004; REQ-FUNC-007,SCR-001,/,src/app/page.tsx,INFRA-DESIGN-TOKENS; DATA-DESTINATIONS,`src/components/scr001/DestinationCardGrid.tsx`(신규),TASK-COMP-SCR001-CARDGRID.md,YES,E2E-PUBLIC-SMOKE,P0,W05
24,COMP-SCR001-DETAIL-DRAWER,COMPONENT,IMPLEMENT,REQ-FUNC-004; REQ-FUNC-006,SCR-001,/,src/app/page.tsx,COMP-SCR001-CARDGRID; DATA-DESTINATIONS,`src/components/scr001/DestinationDrawer.tsx`(신규),TASK-COMP-SCR001-DETAIL-DRAWER.md,YES,MANUAL-A11Y-CHECK; E2E-PUBLIC-SMOKE,P0,W05
25,COMP-SCR001-SAFETY-TAB,COMPONENT,IMPLEMENT(축소),REQ-FUNC-046; REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-049; REQ-FUNC-050; REQ-FUNC-051; REQ-FUNC-052; REQ-FUNC-053; REQ-FUNC-054; REQ-NF-028,SCR-001,/,src/app/page.tsx,COMP-SCR001-DETAIL-DRAWER; DATA-SAFETY; INFRA-OUTBOUND-LINK,`src/components/scr001/SafetyTab.tsx`(신규),TASK-COMP-SCR001-SAFETY-TAB.md,YES,E2E-PUBLIC-SMOKE; 코드리뷰,P0,W05
26,COMP-SCR001-MATE-PREVIEW,COMPONENT,IMPLEMENT,-,SCR-001,/,src/app/page.tsx,DB-ACCESS,`src/components/scr001/MatePreview.tsx`(신규),TASK-COMP-SCR001-MATE-PREVIEW.md,YES,E2E-PUBLIC-SMOKE,P1,W05
27,COMP-SCR001-FOUNDER-SUMMARY,COMPONENT,IMPLEMENT,REQ-FUNC-057; REQ-FUNC-068,SCR-001,/,src/app/page.tsx,DATA-REPRESENTATIVE; INFRA-CLIENT-STATE,`src/components/scr001/FounderSummary.tsx`(신규),TASK-COMP-SCR001-FOUNDER-SUMMARY.md,YES,코드리뷰,P1,W05
28,COMP-SCR002-HERO-METRICS,COMPONENT,IMPLEMENT,REQ-FUNC-057; REQ-FUNC-058,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE; INFRA-DESIGN-TOKENS,`src/components/scr002/ProfileHero.tsx`(신규),TASK-COMP-SCR002-HERO-METRICS.md,YES,코드리뷰; MANUAL-RESPONSIVE-CHECK,P1,W07
29,COMP-SCR002-STORY,COMPONENT,IMPLEMENT,REQ-FUNC-058,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE,`src/components/scr002/Story.tsx`(신규),TASK-COMP-SCR002-STORY.md,YES,코드리뷰,P1,W07
30,COMP-SCR002-TIMELINE,COMPONENT,IMPLEMENT,REQ-FUNC-060,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE,`src/components/scr002/Timeline.tsx`(신규),TASK-COMP-SCR002-TIMELINE.md,YES,코드리뷰,P1,W07
31,COMP-SCR002-COUNTRIES,COMPONENT,IMPLEMENT,REQ-FUNC-059,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE,`src/components/scr002/CountriesChips.tsx`(신규),TASK-COMP-SCR002-COUNTRIES.md,YES,코드리뷰,P1,W07
32,COMP-SCR002-GALLERY,COMPONENT,IMPLEMENT(축소),REQ-FUNC-061,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE; INFRA-DESIGN-TOKENS,`src/components/scr002/Gallery.tsx`(신규),TASK-COMP-SCR002-GALLERY.md,YES,코드리뷰,P1,W07
33,COMP-SCR002-RECOMMENDED-CTA,COMPONENT,IMPLEMENT(축소),REQ-FUNC-062; REQ-FUNC-063,SCR-002,/about,src/app/about/page.tsx,DATA-REPRESENTATIVE; DATA-DESTINATIONS,`src/components/scr002/RecommendedCta.tsx`(신규),TASK-COMP-SCR002-RECOMMENDED-CTA.md,YES,코드리뷰,P1,W07
34,COMP-SCR003-INTRO-TABS,COMPONENT,IMPLEMENT,-,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,INFRA-DESIGN-TOKENS,`src/components/scr003/IntroTabs.tsx`(신규),TASK-COMP-SCR003-INTRO-TABS.md,YES,E2E-TRAVEL-TOOLS,P0,W09
35,COMP-SCR003-FLIGHT-FORM,COMPONENT,IMPLEMENT,REQ-FUNC-011; REQ-FUNC-012; REQ-FUNC-013; REQ-FUNC-014; REQ-FUNC-015; REQ-FUNC-016; REQ-FUNC-017; REQ-FUNC-018; REQ-FUNC-054; REQ-NF-017,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS; INFRA-OUTBOUND-LINK,`src/components/scr003/FlightForm.tsx`(신규),TASK-COMP-SCR003-FLIGHT-FORM.md,YES,UNIT-TRAVEL-DATES; E2E-TRAVEL-TOOLS,P0,W09
36,COMP-SCR003-HOTEL-FORM,COMPONENT,IMPLEMENT,REQ-FUNC-019; REQ-FUNC-020; REQ-FUNC-021; REQ-FUNC-022; REQ-FUNC-023; REQ-FUNC-024; REQ-FUNC-025; REQ-FUNC-026,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS; INFRA-OUTBOUND-LINK,`src/components/scr003/HotelForm.tsx`(신규),TASK-COMP-SCR003-HOTEL-FORM.md,YES,UNIT-TRAVEL-DATES; E2E-TRAVEL-TOOLS,P0,W09
37,COMP-SCR003-TIPS,COMPONENT,IMPLEMENT,-,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS,`src/components/scr003/Tips.tsx`(신규),TASK-COMP-SCR003-TIPS.md,YES,코드리뷰,P2,W09
38,COMP-SCR003-MATE-WRITE,COMPONENT,IMPLEMENT(축소),REQ-FUNC-027; REQ-FUNC-031; REQ-FUNC-032; REQ-FUNC-080,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS; INFRA-AUTH-GUARD; INFRA-CONTACT-DETECTION; API-MATE-POST,`src/components/scr003/MateWriteForm.tsx`(신규),TASK-COMP-SCR003-MATE-WRITE.md,YES,UNIT-CONTACT-DETECTION; E2E-MATE-AUTH,P0,W09
39,COMP-SCR004-INTRO,COMPONENT,IMPLEMENT,-,SCR-004,/mates,src/app/mates/page.tsx,INFRA-DESIGN-TOKENS,`src/components/scr004/Intro.tsx`(신규),TASK-COMP-SCR004-INTRO.md,YES,코드리뷰,P2,W11
40,COMP-SCR004-FILTER,COMPONENT,IMPLEMENT,REQ-FUNC-030,SCR-004,/mates,src/app/mates/page.tsx,DB-ACCESS,`src/components/scr004/Filter.tsx`(신규),TASK-COMP-SCR004-FILTER.md,YES,E2E-MATE-AUTH,P0,W11
41,COMP-SCR004-LIST,COMPONENT,IMPLEMENT,REQ-FUNC-033; REQ-FUNC-037,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-FILTER; API-MATE-POST,`src/components/scr004/MatePostList.tsx`(신규),TASK-COMP-SCR004-LIST.md,YES,E2E-MATE-AUTH,P0,W11
42,COMP-SCR004-DETAIL,COMPONENT,IMPLEMENT,REQ-FUNC-027; REQ-FUNC-036; REQ-FUNC-038; REQ-NF-013,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-LIST; INFRA-AUTH-GUARD; API-MATE-APPLICATION; API-MATE-POST,`src/components/scr004/MatePostDetail.tsx`(신규),TASK-COMP-SCR004-DETAIL.md,YES,TEST-RLS-BASIC; E2E-MATE-AUTH,P0,W11
43,COMP-SCR004-APPLY,COMPONENT,IMPLEMENT,REQ-FUNC-034; REQ-FUNC-035; REQ-FUNC-043,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-DETAIL; API-MATE-APPLICATION; INFRA-CLIENT-STATE,`src/components/scr004/ApplyForm.tsx`(신규),TASK-COMP-SCR004-APPLY.md,YES,UNIT-MATE-STATE; E2E-MATE-AUTH,P0,W11
44,COMP-SCR004-SAFETY-ACTIONS,COMPONENT,IMPLEMENT,REQ-FUNC-039; REQ-FUNC-040,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-DETAIL; API-MATE-REPORT; API-MATE-BLOCK,`src/components/scr004/SafetyActions.tsx`(신규),TASK-COMP-SCR004-SAFETY-ACTIONS.md,YES,TEST-RLS-BASIC; E2E-MATE-AUTH,P0,W11
45,COMP-SCR005-AUTH,COMPONENT,IMPLEMENT,REQ-FUNC-066; REQ-FUNC-028,SCR-005,/account,src/app/account/page.tsx,INFRA-AUTH-GUARD; API-ACCOUNT-PROFILE,`src/components/scr005/AuthPanel.tsx`(신규),TASK-COMP-SCR005-AUTH.md,YES,E2E-MATE-AUTH,P0,W13
46,COMP-SCR005-PROFILE,COMPONENT,IMPLEMENT,REQ-FUNC-029,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; API-ACCOUNT-PROFILE,`src/components/scr005/ProfilePanel.tsx`(신규),TASK-COMP-SCR005-PROFILE.md,YES,코드리뷰,P0,W13
47,COMP-SCR005-MY-ACTIVITY-POSTS,COMPONENT,IMPLEMENT,REQ-FUNC-036; REQ-FUNC-038; REQ-FUNC-043,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; API-MATE-POST; API-MATE-APPLICATION; INFRA-CLIENT-STATE,`src/components/scr005/MyPostsPanel.tsx`(신규),TASK-COMP-SCR005-MY-ACTIVITY-POSTS.md,YES,TEST-RLS-BASIC,P0,W13
48,COMP-SCR005-MY-ACTIVITY-FAVORITES-BLOCKS,COMPONENT,IMPLEMENT,REQ-FUNC-040; REQ-FUNC-068,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; INFRA-CLIENT-STATE; API-MATE-BLOCK,`src/components/scr005/FavoritesBlocksPanel.tsx`(신규),TASK-COMP-SCR005-MY-ACTIVITY-FAVORITES-BLOCKS.md,YES,TEST-RLS-BASIC,P1,W13
49,COMP-SCR005-ADMIN-REPORTS,COMPONENT,IMPLEMENT(축소),REQ-FUNC-041,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; API-MATE-REPORT,`src/components/scr005/AdminReportsPanel.tsx`(신규),TASK-COMP-SCR005-ADMIN-REPORTS.md,YES,TEST-RLS-BASIC,P1,W13
50,COMP-SCR005-ADMIN-OUTBOUND-URL,COMPONENT,IMPLEMENT,REQ-FUNC-077,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; API-ADMIN-SETTINGS,`src/components/scr005/AdminOutboundUrlPanel.tsx`(신규),TASK-COMP-SCR005-ADMIN-OUTBOUND-URL.md,YES,TEST-RLS-BASIC,P1,W13
51,PAGE-SCR001,PAGE_OWNER,IMPLEMENT,REQ-FUNC-001,SCR-001,/,src/app/page.tsx,COMP-SCR001-HERO-SEARCH; COMP-SCR001-CARDGRID; COMP-SCR001-DETAIL-DRAWER; COMP-SCR001-SAFETY-TAB; COMP-SCR001-MATE-PREVIEW; COMP-SCR001-FOUNDER-SUMMARY; INFRA-LAYOUT-SHELL,`src/app/page.tsx`(기존 파일 수정 — Next.js Starter 콘텐츠 전면 교체),TASK-PAGE-SCR001.md,YES,E2E-PUBLIC-SMOKE; MANUAL-RESPONSIVE-CHECK; MANUAL-A11Y-CHECK; RELEASE-VERCEL-SUPABASE-CHECK,P0,W06
52,PAGE-SCR002,PAGE_OWNER,IMPLEMENT,REQ-FUNC-057,SCR-002,/about,src/app/about/page.tsx,COMP-SCR002-HERO-METRICS; COMP-SCR002-STORY; COMP-SCR002-TIMELINE; COMP-SCR002-COUNTRIES; COMP-SCR002-GALLERY; COMP-SCR002-RECOMMENDED-CTA; INFRA-LAYOUT-SHELL,`src/app/about/page.tsx`(신규),TASK-PAGE-SCR002.md,YES,E2E-PUBLIC-SMOKE; MANUAL-RESPONSIVE-CHECK; RELEASE-VERCEL-SUPABASE-CHECK,P1,W08
53,PAGE-SCR003,PAGE_OWNER,IMPLEMENT,REQ-FUNC-011,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS; COMP-SCR003-FLIGHT-FORM; COMP-SCR003-HOTEL-FORM; COMP-SCR003-TIPS; COMP-SCR003-MATE-WRITE; INFRA-LAYOUT-SHELL,`src/app/travel-tools/page.tsx`(신규),TASK-PAGE-SCR003.md,YES,E2E-TRAVEL-TOOLS; MANUAL-RESPONSIVE-CHECK; RELEASE-VERCEL-SUPABASE-CHECK,P0,W10
54,PAGE-SCR004,PAGE_OWNER,IMPLEMENT,REQ-FUNC-030,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-INTRO; COMP-SCR004-FILTER; COMP-SCR004-LIST; COMP-SCR004-DETAIL; COMP-SCR004-APPLY; COMP-SCR004-SAFETY-ACTIONS; INFRA-LAYOUT-SHELL,`src/app/mates/page.tsx`(신규),TASK-PAGE-SCR004.md,YES,E2E-MATE-AUTH; TEST-RLS-BASIC; MANUAL-RESPONSIVE-CHECK; RELEASE-VERCEL-SUPABASE-CHECK,P0,W12
55,PAGE-SCR005,PAGE_OWNER,IMPLEMENT,REQ-FUNC-066,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; COMP-SCR005-PROFILE; COMP-SCR005-MY-ACTIVITY-POSTS; COMP-SCR005-MY-ACTIVITY-FAVORITES-BLOCKS; COMP-SCR005-ADMIN-REPORTS; COMP-SCR005-ADMIN-OUTBOUND-URL; INFRA-LAYOUT-SHELL,`src/app/account/page.tsx`(신규),TASK-PAGE-SCR005.md,YES,E2E-MATE-AUTH; TEST-RLS-BASIC; MANUAL-A11Y-CHECK; RELEASE-VERCEL-SUPABASE-CHECK,P0,W14
56,UNIT-TRAVEL-DATES,UNIT_TEST,IMPLEMENT,REQ-FUNC-013; REQ-FUNC-021,-,-,-,COMP-SCR003-FLIGHT-FORM; COMP-SCR003-HOTEL-FORM,`src/lib/__tests__/travel-dates.test.ts`(신규),TASK-UNIT-TRAVEL-DATES.md,YES,CI-PIPELINE,P0,W15
57,UNIT-CONTACT-DETECTION,UNIT_TEST,IMPLEMENT,REQ-FUNC-032,-,-,-,INFRA-CONTACT-DETECTION,`src/lib/__tests__/contact-detection.test.ts`(신규),TASK-UNIT-CONTACT-DETECTION.md,YES,CI-PIPELINE,P0,W15
58,UNIT-MATE-STATE,UNIT_TEST,IMPLEMENT,REQ-FUNC-035; REQ-FUNC-037,-,-,-,API-MATE-POST; API-MATE-APPLICATION,`src/lib/__tests__/mate-state.test.ts`(신규),TASK-UNIT-MATE-STATE.md,YES,CI-PIPELINE,P0,W15
59,TEST-RLS-BASIC,RLS_TEST,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,-,-,-,DB-RLS-BASE; DB-SEED-BASE,`supabase/tests/rls_basic.sql`(신규) 또는 `src/lib/__tests__/rls-basic.test.ts`(신규),TASK-TEST-RLS-BASIC.md,YES,CI-PIPELINE,P0,W04
60,E2E-PUBLIC-SMOKE,E2E_TEST,IMPLEMENT,REQ-FUNC-001; REQ-FUNC-006; REQ-FUNC-057,SCR-001; SCR-002,/; /about,-,INFRA-PLAYWRIGHT-CONFIG; PAGE-SCR001; PAGE-SCR002,`e2e/public-smoke.spec.ts`(신규),TASK-E2E-PUBLIC-SMOKE.md,YES,CI-PIPELINE,P0,W15
61,E2E-TRAVEL-TOOLS,E2E_TEST,IMPLEMENT,REQ-FUNC-014; REQ-FUNC-016; REQ-FUNC-022; REQ-FUNC-024,SCR-003,/travel-tools,-,INFRA-PLAYWRIGHT-CONFIG; PAGE-SCR003,`e2e/travel-tools.spec.ts`(신규),TASK-E2E-TRAVEL-TOOLS.md,YES,CI-PIPELINE,P0,W15
62,E2E-MATE-AUTH,E2E_TEST,IMPLEMENT,REQ-FUNC-027; REQ-FUNC-034; REQ-FUNC-066,SCR-004; SCR-005,/mates; /account,-,INFRA-PLAYWRIGHT-CONFIG; PAGE-SCR004; PAGE-SCR005,`e2e/mate-auth.spec.ts`(신규),TASK-E2E-MATE-AUTH.md,YES,CI-PIPELINE,P0,W15
63,CI-PIPELINE,CI,IMPLEMENT(축소),REQ-NF-031,-,-,-,UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE; TEST-RLS-BASIC; E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH,`.github/workflows/ci.yml`(신규),TASK-CI-PIPELINE.md,YES,코드리뷰(워크플로 실행 로그),P0,W15
64,RELEASE-VERCEL-SUPABASE-CHECK,RELEASE_CHECK,IMPLEMENT,REQ-NF-012; REQ-NF-016,SCR-001; SCR-002; SCR-003; SCR-004; SCR-005,/; /about; /travel-tools; /mates; /account,-,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005; DB-SCHEMA-BASE,(코드 없음 — 배포 체크리스트),TASK-RELEASE-VERCEL-SUPABASE-CHECK.md,YES,브라우저 수동 확인(배포 URL 직접 접속),P0,W17
65,MANUAL-RESPONSIVE-CHECK,MANUAL_CHECK,IMPLEMENT(축소),REQ-FUNC-065,SCR-001; SCR-002; SCR-003; SCR-004; SCR-005,/; /about; /travel-tools; /mates; /account,-,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,(코드 없음 — 브라우저 확인 체크리스트),TASK-MANUAL-RESPONSIVE-CHECK.md,YES,브라우저 수동 확인(DevTools 뷰포트 전환),P1,W16
66,MANUAL-A11Y-CHECK,MANUAL_CHECK,IMPLEMENT(축소),REQ-NF-023; REQ-FUNC-079,SCR-001; SCR-002; SCR-003; SCR-004; SCR-005,/; /about; /travel-tools; /mates; /account,-,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,(코드 없음 — 브라우저 확인 체크리스트),TASK-MANUAL-A11Y-CHECK.md,YES,브라우저 수동 확인(키보드 Tab 순회),P1,W16
